# sweep: 320 configs x 25 stocks, 15m/60d yfinance, train/test split
 atr  mult  ema         exit    train     test  trades   win%
  10   2.0  100   be1.0+noTr   -12126    -4909     227   38.3
  10   2.5   50  be1.0+tr2.0    -8482    -4911     206   33.0
  10   2.0   50   be1.0+noTr   -10962    -4915     246   39.0
  14   1.5   50  be0.5+tr1.5   -12586    -4921     338   31.1
  10   1.5   20  be0.5+tr1.5   -14253    -4923     440   32.7
  14   2.0  100  be0.5+tr1.5   -10959    -4959     230   32.6
  21   2.5  100   be1.0+noTr    -7008    -4972     190   29.5
  21   3.0   20          tp3    -5025    -4975     264   35.6
  14   3.0   20  be0.5+tr1.5    -5167    -4976     256   35.2
  10   2.0   20          tp3    -9892    -4990     360   39.7
  10   2.5  100  be0.5+tr1.5    -8214    -5002     176   27.3
  21   2.5  100  be1.0+tr2.0    -7324    -5093     190   30.0
   7   2.5   20  be1.0+tr2.0    -6549    -5114     314   36.6
  21   1.5  100  be1.0+tr2.0   -15045    -5125     348   36.8
  21   1.5  100   be1.0+noTr   -14950    -5153     348   36.8
  21   2.5   50   be1.0+noTr    -7019    -5154     215   33.0
   7   1.5   20  be1.0+tr2.0   -10730    -5156     438   37.0
  14   3.0    0   be1.0+noTr    -3425    -5197     271   36.2
   7   2.5   50  be0.5+tr1.5    -6726    -5207     203   29.6
  14   2.5   50   be1.0+noTr    -7974    -5219     204   32.4
   7   1.5   20   be1.0+noTr   -10814    -5229     438   36.8
  21   2.5   50  be1.0+tr2.0    -7336    -5279     215   33.0
  21   3.0   20   be1.0+noTr    -4524    -5283     264   34.5
   7   1.5   50  be1.0+tr2.0   -12274    -5289     332   36.1
  14   2.5   50  be1.0+tr2.0    -8299    -5294     204   32.4
  10   3.0   50  be0.5+tr1.5    -5626    -5309     164   31.1
   7   1.5   50   be1.0+noTr   -12246    -5316     332   35.8
  14   3.0    0          tp3    -3785    -5384     271   36.9
   7   1.5   20          tp3   -10196    -5414     438   37.0
  10   3.0   20          tp3    -5221    -5418     245   35.5
   7   2.0  100          tp3    -9577    -5434     228   36.4
  14   2.0   20  be0.5+tr1.5   -10102    -5452     362   33.1
  21   2.5  100  be0.5+tr1.5    -7303    -5469     190   27.4
  14   2.5  100  be0.5+tr1.5    -8463    -5476     182   25.8
  21   3.0   20  be1.0+tr2.0    -4857    -5520     264   36.4
   7   3.0   50  be0.5+tr1.5    -6534    -5554     165   29.1
  10   2.0  100  be0.5+tr1.5   -10816    -5566     227   32.6
  10   2.0   50  be0.5+tr1.5   -10225    -5583     246   32.9
  10   2.5   20   be1.0+noTr    -7996    -5590     321   35.2
  21   2.5   20          tp3    -6985    -5628     321   35.5
  10   1.5   50          tp3   -13493    -5723     334   37.1
  10   2.5   50  be0.5+tr1.5    -8623    -5761     206   28.2
   7   1.5   50  be0.5+tr1.5   -12288    -5766     332   31.3
   7   1.5   50          tp3   -11518    -5793     332   36.1
  21   3.0   20  be0.5+tr1.5    -5304    -5806     264   34.5
  10   3.0   20   be1.0+noTr    -4729    -5834     245   34.3
  10   1.5   50  be0.5+tr1.5   -14036    -5852     334   30.5
  14   3.0    0  be1.0+tr2.0    -3709    -5856     271   36.9
  14   2.5   20          tp3    -8618    -5860     316   34.5
  10   3.0   20  be1.0+tr2.0    -4865    -5915     245   36.3
   7   2.5   20  be0.5+tr1.5    -7125    -5936     314   32.5
   7   2.5    0          tp3    -6516    -5961     348   35.1
  10   2.5   20  be1.0+tr2.0    -7919    -5990     321   35.5
  21   2.5   50  be0.5+tr1.5    -7717    -6001     215   27.9
   7   2.0   50          tp3    -8246    -6020     246   36.2
   7   2.0  100  be1.0+tr2.0    -9487    -6052     228   35.5
  10   2.0   20  be1.0+tr2.0    -9626    -6056     360   39.2
  10   3.0    0          tp3    -5144    -6071     251   35.5
   7   1.5   20  be0.5+tr1.5   -11671    -6075     438   32.0
  14   3.0    0  be0.5+tr1.5    -5026    -6150     271   33.9
  14   1.5  100  be1.0+tr2.0   -15904    -6163     342   35.4
  21   1.5  100          tp3   -13883    -6172     348   37.1
  14   1.5  100   be1.0+noTr   -15927    -6209     342   35.4
  21   1.5  100  be0.5+tr1.5   -14537    -6213     348   31.0
   7   2.0  100   be1.0+noTr    -9519    -6220     228   35.5
  14   2.5   50  be0.5+tr1.5    -8429    -6262     204   27.0
  10   2.0   20   be1.0+noTr    -9638    -6278     360   39.2
   7   3.0   20          tp3    -6559    -6401     242   33.9
  21   2.5   20   be1.0+noTr    -6559    -6440     321   34.9
  21   2.5   20  be1.0+tr2.0    -6826    -6481     321   35.5
  10   3.0    0   be1.0+noTr    -4773    -6487     251   34.3
   7   2.0  100  be0.5+tr1.5    -9075    -6498     228   30.7
  10   3.0   20  be0.5+tr1.5    -6589    -6506     245   32.7
  21   3.0    0          tp3    -4200    -6523     284   34.5
   7   2.0   50  be1.0+tr2.0    -8506    -6549     246   35.4
   7   3.0   20  be1.0+tr2.0    -5941    -6554     242   34.7
  14   2.5   20   be1.0+noTr    -8261    -6556     316   33.9
  10   3.0    0  be1.0+tr2.0    -5138    -6615     251   36.3
   7   3.0   20   be1.0+noTr    -5985    -6662     242   33.1
   7   2.0   20          tp3    -9206    -6712     369   36.9
   7   2.0   50   be1.0+noTr    -8466    -6760     246   35.4
   7   3.0    0          tp3    -6178    -6768     246   34.1
  14   2.5   20  be1.0+tr2.0    -8574    -6820     316   34.5
  10   2.0   20  be0.5+tr1.5    -9762    -6854     360   33.3
  21   3.0    0   be1.0+noTr    -3711    -6867     284   33.5
   7   1.5  100  be1.0+tr2.0   -13634    -6889     324   34.0
   7   2.5    0   be1.0+noTr    -6274    -6905     348   34.5
  10   1.5  100  be1.0+tr2.0   -16470    -6906     332   34.9
   7   1.5  100   be1.0+noTr   -13606    -6916     324   33.6
   7   3.0    0  be1.0+tr2.0    -5642    -6920     246   35.0
  10   1.5  100   be1.0+noTr   -16302    -6966     332   34.6
   7   3.0    0   be1.0+noTr    -5685    -7028     246   33.3
  14   1.5  100          tp3   -15345    -7041     342   35.7
  10   3.0    0  be0.5+tr1.5    -6824    -7042     251   32.3
  21   3.0    0  be1.0+tr2.0    -4317    -7104     284   35.2
  14   1.5  100  be0.5+tr1.5   -15333    -7192     342   30.1
  21   3.0    0  be0.5+tr1.5    -5127    -7296     284   33.1
  10   2.5    0          tp3    -7561    -7359     358   34.4
   7   2.0   50  be0.5+tr1.5    -8283    -7363     246   29.7
   7   1.5  100  be0.5+tr1.5   -13529    -7372     324   29.6
  10   2.5   20  be0.5+tr1.5    -9154    -7394     321   29.9
   7   3.0   20  be0.5+tr1.5    -6581    -7418     242   30.2
   7   2.5    0  be1.0+tr2.0    -6338    -7433     348   35.1
   7   1.5  100          tp3   -12600    -7510     324   34.0
  10   1.5  100          tp3   -15543    -7693     332   34.9
  21   2.5   20  be0.5+tr1.5    -7918    -7709     321   29.9
   7   3.0    0  be0.5+tr1.5    -6282    -7812     246   30.1
   7   2.0   20  be1.0+tr2.0    -9387    -7863     369   36.3
  10   1.5  100  be0.5+tr1.5   -15917    -7971     332   28.9
   7   2.5    0  be0.5+tr1.5    -6995    -8088     348   31.0
  10   2.5    0   be1.0+noTr    -7324    -8154     358   33.8
   7   2.0   20   be1.0+noTr    -9348    -8191     369   36.3
  14   2.5   20  be0.5+tr1.5    -9502    -8198     316   28.8
   7   2.0   20  be0.5+tr1.5    -9213    -8507     369   31.4
  10   2.5    0  be1.0+tr2.0    -7519    -8598     358   34.1
  21   2.0    0          tp3   -11400    -8598     513   38.2
  14   2.0    0          tp3   -11466    -8628     505   38.4
  14   2.5    0          tp3    -8503    -8667     369   33.1
  21   2.0    0  be1.0+tr2.0   -11635    -8677     513   38.2
  10   2.0    0          tp3   -10543    -8680     490   38.6
  21   2.0    0   be1.0+noTr   -11871    -8936     513   37.8
  14   2.5    0   be1.0+noTr    -8157    -9331     369   32.5
  14   2.0    0  be1.0+tr2.0   -11845    -9393     505   38.4
  21   2.5    0          tp3    -8252    -9437     386   33.9
  14   2.0    0   be1.0+noTr   -11918    -9628     505   38.0
  14   2.5    0  be1.0+tr2.0    -8742    -9633     369   33.1
  10   2.5    0  be0.5+tr1.5    -8686    -9968     358   28.2
  10   2.0    0  be1.0+tr2.0   -10535   -10064     490   38.0
  21   2.5    0  be1.0+tr2.0    -8404   -10210     386   33.9
  21   2.5    0   be1.0+noTr    -7864   -10232     386   33.4
   7   2.0    0          tp3    -8424   -10249     482   36.5
  10   2.0    0   be1.0+noTr   -10559   -10314     490   38.0
  14   2.0    0  be0.5+tr1.5   -11798   -10737     505   31.9
  21   2.0    0  be0.5+tr1.5   -11076   -10925     513   31.2
  10   2.0    0  be0.5+tr1.5   -11203   -11059     490   32.2
  14   2.5    0  be0.5+tr1.5   -10058   -11330     369   27.1
   7   2.0    0  be1.0+tr2.0    -8970   -11557     482   36.1
   7   1.0   20  be0.5+tr1.5   -19622   -11584     564   27.3
  21   2.5    0  be0.5+tr1.5    -9760   -11617     386   28.2
