trade_no,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,pnl
1,TATASTEEL,SHORT,06:00,188.06,10:15,186.89,20,23.47
2,TATASTEEL,LONG,10:15,188.58,12:15,187.53,20,-21.09
