time,symbol,open,high,low,close,atr,supertrend,trend,upper,lower,ema,position,signal,reason
2026-07-17 06:00,HDFCAMC,2602.19,2602.19,2602.19,2602.19,11.06,2617.80,-1,2617.80,2588.27,2638.48,0,,
2026-07-17 06:00,ETERNAL,286.45,286.45,286.45,286.45,1.31,288.41,-1,288.41,287.29,289.93,0,,
2026-07-17 06:00,INFY,1082.40,1082.40,1082.40,1082.40,3.60,1087.79,-1,1087.79,1085.68,1087.26,-1,SELL,flip DOWN | atr=3.60 st=1087.79 sl=1087.79
2026-07-17 06:00,TCS,2201.00,2201.00,2201.00,2201.00,7.62,2212.44,-1,2212.44,2189.56,2201.26,0,,
2026-07-17 06:00,UNIONBANK,168.77,168.77,168.77,168.77,0.87,170.08,-1,170.08,168.21,170.44,0,,
2026-07-17 09:00,INFY,1085.00,1105.00,1085.00,1105.00,4.95,1087.57,1,1087.79,1087.57,1087.96,1,BUY,flip UP | atr=4.95 st=1087.57 sl=1097.57
2026-07-17 09:00,ETERNAL,285.95,287.00,285.95,287.00,1.29,288.41,-1,288.41,284.54,289.81,0,,
2026-07-17 09:00,UNIONBANK,168.65,169.00,168.65,169.00,0.83,170.08,-1,170.08,168.21,170.39,0,,
2026-07-17 09:00,TCS,2199.10,2224.80,2199.10,2224.80,8.92,2198.58,1,2212.44,2198.58,2202.18,1,BUY,flip UP | atr=8.92 st=2198.58 sl=2211.43
2026-07-17 09:00,HDFCAMC,2601.00,2601.70,2601.00,2601.70,10.35,2616.88,-1,2616.88,2588.27,2637.04,0,,
2026-07-17 09:15,TCS,2227.60,2256.40,2226.70,2233.20,10.54,2225.75,1,2257.35,2225.75,2203.40,1,,
2026-07-17 09:15,INFY,1104.20,1116.30,1104.20,1104.80,5.46,1102.05,1,1118.45,1102.05,1088.62,1,,
2026-07-17 09:15,UNIONBANK,168.89,169.34,167.80,168.65,0.88,169.90,-1,169.90,168.21,170.32,0,,
2026-07-17 09:15,HDFCAMC,2602.70,2606.30,2588.40,2603.00,10.89,2613.69,-1,2613.69,2588.27,2635.71,0,,
2026-07-17 09:15,ETERNAL,286.60,286.95,283.05,285.90,1.48,287.22,-1,287.22,284.54,289.66,0,,
2026-07-17 09:30,INFY,1105.00,1109.30,1100.60,1103.60,5.69,1102.05,1,1113.49,1102.05,1089.21,1,,
