time,symbol,open,high,low,close,atr,supertrend,trend,upper,lower,ema,position,signal,reason
2026-07-16 06:00,ETERNAL,294.80,294.80,294.80,294.80,1.23,293.90,1,296.65,293.90,290.71,0,,
2026-07-16 06:00,INFY,1076.30,1076.30,1076.30,1076.30,3.81,1082.02,-1,1082.02,1074.47,1083.98,0,,
2026-07-16 06:00,ADANIENSOL,1678.00,1678.00,1678.00,1678.00,7.47,1683.61,-1,1683.61,1669.87,1676.48,0,,
2026-07-16 06:00,LODHA,1162.40,1162.40,1162.40,1162.40,5.38,1164.02,-1,1164.02,1154.33,1164.24,0,,
2026-07-16 06:00,BAJAJHLDNG,10531.00,10531.00,10531.00,10531.00,23.44,10495.84,1,10525.06,10495.84,10556.23,0,,
2026-07-16 09:00,ETERNAL,294.15,298.75,294.15,298.75,1.47,294.24,1,296.65,294.24,291.02,0,,
2026-07-16 09:00,INFY,1077.40,1082.50,1077.40,1082.50,3.98,1074.47,1,1082.02,1074.47,1083.92,0,,
2026-07-16 09:00,ADANIENSOL,1680.00,1689.10,1680.00,1689.10,7.72,1672.96,1,1683.61,1672.96,1676.98,1,BUY,flip UP | atr=7.72 st=1672.96 sl=1677.51
2026-07-16 09:00,LODHA,1165.05,1165.50,1165.05,1165.50,5.21,1157.45,1,1164.02,1157.45,1164.29,1,BUY,flip UP | atr=5.21 st=1157.45 sl=1157.68
2026-07-16 09:00,BAJAJHLDNG,10508.00,10531.00,10508.00,10531.00,23.41,10495.84,1,10554.61,10495.84,10555.24,0,,
2026-07-16 09:15,LODHA,1165.55,1167.85,1156.05,1156.95,5.68,1170.48,-1,1170.48,1157.45,1164.00,-1,SELL,flip DOWN | atr=5.68 st=1170.48 sl=1165.48
2026-07-16 09:15,INFY,1082.60,1097.20,1082.60,1090.30,4.75,1082.78,1,1097.02,1082.78,1084.17,0,,
2026-07-16 09:15,ADANIENSOL,1690.60,1701.40,1685.60,1691.70,8.30,1681.05,1,1705.95,1681.05,1677.56,0,,
2026-07-16 09:15,BAJAJHLDNG,10551.00,10556.00,10475.00,10481.00,27.52,10554.61,-1,10554.61,10495.84,10552.33,-1,SELL,flip DOWN | atr=27.52 st=10554.61 sl=10522.28
2026-07-16 09:15,ETERNAL,298.30,298.30,293.55,294.10,1.74,298.53,-1,298.53,294.24,291.14,0,,
2026-07-16 09:30,INFY,1090.50,1091.10,1084.60,1085.80,4.87,1082.78,1,1095.16,1082.78,1084.23,0,,
2026-07-16 09:30,ADANIENSOL,1691.00,1698.80,1690.00,1693.00,8.34,1681.89,1,1705.95,1681.89,1678.16,0,,
2026-07-16 09:30,ETERNAL,294.05,294.25,292.45,293.20,1.74,295.96,-1,295.96,290.74,291.22,0,,
2026-07-16 09:30,LODHA,1156.50,1161.95,1150.75,1157.55,6.08,1165.47,-1,1165.47,1147.23,1163.75,0,,
2026-07-16 09:30,BAJAJHLDNG,10475.00,10482.00,10406.00,10430.00,30.99,10490.48,-1,10490.48,10397.52,10547.53,-1,,
2026-07-16 09:45,LODHA,1158.30,1177.65,1157.60,1176.50,7.08,1157.00,1,1165.47,1157.00,1164.25,1,BUY,flip UP | atr=7.08 st=1157.00 sl=1165.88
2026-07-16 09:45,BAJAJHLDNG,10431.00,10467.00,10430.00,10456.00,31.42,10490.48,-1,10490.48,10401.38,10543.94,-1,,
2026-07-16 09:45,ADANIENSOL,1692.50,1707.40,1692.30,1701.30,8.82,1686.62,1,1705.95,1686.62,1679.07,0,,
2026-07-16 09:45,INFY,1085.50,1090.40,1082.00,1087.90,5.12,1082.78,1,1093.89,1082.78,1084.38,0,,
2026-07-16 09:45,ETERNAL,293.30,294.75,292.95,293.35,1.75,295.96,-1,295.96,291.23,291.31,0,,
2026-07-16 10:00,ETERNAL,293.40,294.95,293.05,294.05,1.76,295.96,-1,295.96,291.36,291.42,0,,
2026-07-16 10:00,ADANIENSOL,1701.80,1710.10,1699.00,1702.80,8.98,1691.08,1,1705.95,1691.08,1680.00,0,,
2026-07-16 10:00,INFY,1088.10,1091.50,1085.00,1089.40,5.22,1082.78,1,1093.89,1082.78,1084.57,0,,
2026-07-16 10:00,LODHA,1176.20,1183.30,1175.20,1182.90,7.15,1168.52,1,1189.98,1168.52,1164.98,1,,
2026-07-16 10:00,BAJAJHLDNG,10453.00,10469.00,10444.00,10467.00,30.96,10490.48,-1,10490.48,10410.06,10540.92,-1,,
2026-07-16 10:15,ADANIENSOL,1703.10,1714.50,1700.40,1711.40,9.35,1693.43,1,1705.95,1693.43,1681.23,0,,
2026-07-16 10:15,LODHA,1183.55,1194.05,1183.00,1192.90,7.44,1177.37,1,1189.98,1177.37,1166.08,1,,
2026-07-16 10:15,INFY,1089.50,1092.00,1087.00,1090.40,5.21,1082.78,1,1093.89,1082.78,1084.80,0,,
2026-07-16 10:15,ETERNAL,293.90,293.90,292.55,292.85,1.74,295.83,-1,295.83,291.36,291.47,0,,
2026-07-16 10:15,BAJAJHLDNG,10473.00,10480.00,10466.00,10466.00,29.75,10490.48,-1,10490.48,10428.38,10537.98,-1,,
