time,symbol,open,high,low,close,atr,supertrend,trend,upper,lower,ema,position,signal,reason
2026-07-15 11:15,UNIONBANK,172.90,172.90,172.53,172.53,1.02,171.27,1,173.68,171.27,169.22,0,,
2026-07-15 11:15,JIOFIN,237.80,237.90,237.76,237.81,0.65,238.36,-1,238.36,236.85,238.03,0,,
2026-07-15 11:15,ADANIENSOL,1690.60,1691.00,1689.80,1690.60,9.17,1695.40,-1,1695.40,1676.65,1677.10,0,,
2026-07-15 11:15,HCLTECH,1172.20,1173.00,1171.80,1172.40,6.61,1167.15,1,1181.06,1167.15,1179.32,0,,
2026-07-15 11:15,LODHA,1169.55,1169.70,1169.05,1169.50,6.26,1163.14,1,1176.48,1163.14,1165.90,0,,
2026-07-15 11:30,HCLTECH,1172.60,1174.00,1171.50,1173.10,6.32,1167.15,1,1181.06,1167.15,1179.08,0,,
2026-07-15 11:30,UNIONBANK,172.57,172.65,171.91,171.91,1.00,171.27,1,173.68,171.27,169.33,0,,
2026-07-15 11:30,LODHA,1169.35,1171.05,1167.25,1168.15,6.08,1163.14,1,1176.48,1163.14,1165.99,0,,
2026-07-15 11:30,ADANIENSOL,1690.50,1692.00,1686.30,1686.80,8.92,1695.40,-1,1695.40,1676.65,1677.48,0,,
2026-07-15 11:30,JIOFIN,237.79,237.92,237.56,237.62,0.63,238.36,-1,238.36,236.85,238.01,0,,
2026-07-15 11:45,HCLTECH,1172.90,1173.30,1170.70,1171.60,6.05,1167.15,1,1181.06,1167.15,1178.79,0,,
2026-07-15 11:45,UNIONBANK,171.96,172.90,171.91,172.62,1.00,171.27,1,173.68,171.27,169.46,0,,
2026-07-15 11:45,ADANIENSOL,1687.00,1688.30,1681.00,1682.70,8.80,1695.40,-1,1695.40,1676.65,1677.68,0,,
2026-07-15 11:45,JIOFIN,237.63,237.68,237.43,237.64,0.60,238.36,-1,238.36,236.85,238.00,0,,
2026-07-15 11:45,LODHA,1167.75,1169.55,1165.10,1166.00,5.97,1163.14,1,1176.27,1163.14,1165.99,0,,
2026-07-15 12:00,JIOFIN,237.66,237.91,237.27,237.40,0.61,238.36,-1,238.36,236.85,237.98,0,,
2026-07-15 12:00,UNIONBANK,172.56,176.66,172.30,176.58,1.24,172.62,1,173.68,172.62,169.74,0,,
2026-07-15 12:00,HCLTECH,1172.00,1172.30,1169.20,1171.00,5.84,1167.15,1,1179.52,1167.15,1178.48,0,,
2026-07-15 12:00,LODHA,1165.95,1166.10,1161.00,1162.05,5.90,1172.40,-1,1172.40,1163.14,1165.84,-1,SELL,flip DOWN | atr=5.90 st=1172.40 sl=1170.90
2026-07-15 12:00,ADANIENSOL,1683.10,1683.80,1675.90,1677.00,8.74,1692.96,-1,1692.96,1676.65,1677.66,0,,
2026-07-15 12:15,UNIONBANK,176.51,177.42,168.77,173.31,1.77,172.62,1,175.75,172.62,169.88,0,,
2026-07-15 12:15,JIOFIN,237.36,237.65,237.10,237.15,0.60,238.28,-1,238.28,236.85,237.94,0,,
2026-07-15 12:15,LODHA,1162.45,1163.60,1160.75,1163.30,5.69,1170.70,-1,1170.70,1153.65,1165.74,-1,,
2026-07-15 12:15,HCLTECH,1171.30,1172.40,1166.00,1166.40,5.88,1178.03,-1,1178.03,1167.15,1178.01,-1,SELL,flip DOWN | atr=5.88 st=1178.03 sl=1175.23
2026-07-15 12:15,ADANIENSOL,1675.30,1680.80,1674.00,1678.60,8.60,1690.30,-1,1690.30,1676.65,1677.69,0,,
2026-07-15 12:30,HCLTECH,1167.50,1168.70,1166.20,1167.00,5.64,1175.91,-1,1175.91,1158.99,1177.58,-1,,
2026-07-15 12:30,ADANIENSOL,1677.40,1683.00,1676.70,1679.80,8.44,1690.30,-1,1690.30,1676.65,1677.77,0,,
2026-07-15 12:30,UNIONBANK,171.79,176.06,171.07,173.98,2.00,172.62,1,175.75,172.62,170.04,0,,
2026-07-15 12:30,LODHA,1161.95,1163.60,1158.40,1162.00,5.65,1169.48,-1,1169.48,1153.65,1165.59,-1,,
2026-07-15 12:30,JIOFIN,237.06,237.13,236.72,237.00,0.59,237.81,-1,237.81,236.85,237.91,0,,
2026-07-15 12:45,UNIONBANK,173.83,175.43,172.62,174.90,2.06,172.62,1,175.75,172.62,170.23,0,,
2026-07-15 12:45,HCLTECH,1166.90,1167.80,1160.00,1161.80,5.80,1172.59,-1,1172.59,1158.99,1176.96,-1,,
2026-07-15 12:45,JIOFIN,236.90,237.04,235.38,235.92,0.67,237.21,-1,237.21,236.85,237.83,0,,
2026-07-15 12:45,LODHA,1162.50,1162.70,1154.05,1157.95,5.86,1167.17,-1,1167.17,1153.65,1165.29,-1,,
2026-07-15 12:45,ADANIENSOL,1680.50,1680.80,1666.40,1669.20,8.86,1686.89,-1,1686.89,1676.65,1677.44,0,,
