trade_no,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,gross_pnl,cost,net_pnl
17,INFY,SHORT,06:00,1136.50,11:15,1096.70,2,79.60,0.78,78.82
18,TCS,LONG,11:15,2245.20,15:00,2266.30,1,21.10,0.80,20.30
