trade_no,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,gross_pnl,cost,net_pnl
4,ADANIENSOL,LONG,10:00,1661.50,11:41,1685.90,1,24.40,0.60,23.80
,UNIONBANK,LONG,12:45,169.71,13:40,169.71,6,0.00,0.36,-0.36
,UNIONBANK,LONG,12:45,169.71,13:40,169.70,9,-0.09,0.54,-0.63
,UNIONBANK,SHORT,resumed,169.70,13:55,170.59,9,-8.01,0.54,-8.55
6,DRREDDY,SHORT,13:45,1239.00,14:26,1243.80,2,-9.60,0.88,-10.48
